,Line item,stop_removed_keyword
0,bad debt,bad debt write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs
1,bank charges,bank charges bank services bank service charges bank administration fee bank charges bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense
2,strata suite,strata suite strata suite mortgage payment strata owned unit fees strata suite-property taxes strata 's suite strata fee rental unit strata fees strata suite 's property taxes mortgage principal guest suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses
3,caretaker suite,caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite
4,consulting ,consulting additional services contracted services communications professional services professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees
5,council stipend,council stipend committees committee remuneration committee member stipend committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs
6,deficit recovery,deficit recovery recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit
7,easement,easement easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution
8,miscellaneous,miscellaneous miscellaneous expenses choa membership memberships subscriptions additional services social event funds records storage miscellaneous building expenses community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities
9,printing & postage,printing & postage sundry postage & copies postage/printing & copying printing costs postage copying sundry strata post/copies photocopy & postage photocopy sundry expense miscellaneous/postage miscellaneous postage miscellaneous & postage office expenses supplies office expenses & supplies office expenses supplies photocopier sundry operating expenses duplication/postage/courier postage/copies property management office expenses photos postage courier office supplies duplicating office expenses office/postage/misc office expenses office/postage/misc office expenses office/postage/misc office expenses office/postage/misc office expenses office/postage/misc office expenses office/postage/misc office expenses office/postage/misc office expenses office/postage/misc
10,depreciation report,depreciation report reserve report reserve report inspection building envelope inspection engineering fees depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review depreciation reports warranty review
11,warranty review,warranty review warranty inspection warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report warranty inspection report warranty report
12,registration / licence fees,registration licence fees license permits license & permits ltsa registration elevator permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits boiler/pressure vessel permits license permits
13,taxes,taxes property taxes cpp/ei tax payroll expense ei payroll expense cpp funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax strata suite 's property taxes funeral homes s/l property tax
14,enterphone / intercom / telecommunications,enterphone intercom telecommunications telephone communications enterphone intercom enterphone lease intercom lease telephone service intercom & phone line telephone expenses cable expenses cable service internet service site manager phone elevator phone line cellular phone expense caretaker phone/pager phone & enterphone phone enterphone cable internet cable internet cable & internet enterphone/intercom enterphone apt telephone apt telephone/cell/pager common area phones telephone pager common area phones telephone pager common area phones telephone pager common area phones telephone pager common area phones telephone pager common area phones telephone pager common area phones telephone pager common area phones
15,loans / mortgage,loans mortgage loans mortgage payment mortgage expenses mortgage mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment mortgage principal mortgage regular payment
16,worksafe,worksafe worksafe bc payroll expense worksafe bc wcb caretaker wcb concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc concierge wcb work safe bc
17,leases,leases led lighting leasing compactor lease lease leasing equipment lease garbage lease security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments security system lease lease payments
18,deductibles,deductibles insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims insurance deductibles insurance claims
19,insurance appraisal/assessment,insurance appraisal/assessment insurance appraisal insurance assessment appraisal insurance finance/appraisal fees insurance finance/appraisal insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest insurance appraisal/assessment insurance financing interest
20,insurance premiums,insurance premiums insurance insurance expense insurance premiums building insurance insurance appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal insurance/appraisal insurance & appraisal
21,management / agent fees,management agent fees property management agent fees strata corporation administration agent fees management fees property management fees management fee management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management additional management fees strata management
22,accounting,accounting audit/accounting corporation tax return tax return filing corporate tax return accounting legal accounting & legal professional fees income tax preparation accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting accounting fees professional accounting
23,administration,administration agm & egm expense agm expense egm expence special meeting expense general admin/general office costs general admin general office costs office costs council meetings boardroom council mtgs/brdroom strata meetings employee wages administrative council administration donations gifts donations & gifts agm & sgm expense agm & strata council expenses agm & sgm expense agm & strata council expenses agm & sgm expense agm & strata council expenses agm & sgm expense agm & strata council expenses agm & sgm expense agm & strata council expenses agm & sgm expense agm & strata council expenses agm & sgm expense agm & strata council expenses agm & sgm expense agm & strata council expenses agm & sgm expense agm & strata council expenses agm & sgm expense agm & strata council expenses agm & sgm expense agm & strata council expenses agm & sgm expense
24,audit,audit statutory review trust accounts statutory review books audit real estate services act audit & tax service audit/accounting audit/accounting audit accounting audit fees audit fees & tax filing fees audit review audit/tax filing trust audit real estate council review audit/review statutory financial review audit/review statutory financial review audit/review statutory financial review audit/review statutory financial review audit/review statutory financial review audit/review statutory financial review audit/review statutory financial review audit/review statutory financial review audit/review statutory financial review audit/review statutory financial review audit/review statutory financial review audit/review statutory financial review audit/review statutory financial review audit/review
25,legal,legal professional legal legal fees legal & professional legal services legal/consulting fees legal retainer legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees legal & accounting fees legal accounting fees
26,alarm monitoring,alarm monitoring monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring security monitoring alarm monitoring
27,concierge,concierge front desk reception concierge concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge concierge 24/7 concierge
28,security,security security guard security moves security personnel security services move move expense safety & security safety security security patrol move monitoring moving charges security system costs bike patrol security system costs bike patrol security system costs bike patrol security system costs bike patrol security system costs bike patrol security system costs bike patrol security system costs bike patrol security system costs bike patrol security system costs bike patrol security system costs bike patrol security system costs bike patrol security system costs bike patrol security system costs bike patrol security system costs bike patrol security system costs bike patrol
29,surplus/deficit,surplus/deficit department surplus/deficit surplus deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit ) deficit current yr net surplus/ ( deficit )
30,carpet cleaning,carpet cleaning floor r & carpet cleaning & repairs carpet cleaning & repair flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting carpet cleaning apt flooring/carpeting
31,janitorial services,janitorial services janitorial janitorial maintenance janitorial expenses common area cleaning cleaning janitorial contract wages weekend janitorial contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial janitorial/property maint contract services/janitorial
32,window cleaning,window cleaning window cleaning services window cleaning window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing window cleaning – apt window washing
33,roof maintenance,roof maintenance roof anchors repair & maintenance repairs roof safety anchors r & – roof roof – rm rooftop improvements r & roof r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof roof repairs & maint r & m-roof
34,window & door maintenance / replacement,window & door maintenance replacement window repairs window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair window replacement door & window repair
35,deck repairs,deck repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs balcony/patio repairs
36,fence repairs,fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs fence repairs
37,fountain / entryway maintenance,fountain entryway maintenance pond maintenance fountain maintenance pond r & fountain r & water feature maintenance public plaza maintenance lagoons – apt lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons lagoons lagooons
38,general repair & maintenance - exterior,general repair & maintenance exterior repair exterior exterior repair maintenance building envelope repair & maint building envelope exterior painting building cleaning building repair & maintenance building repair maintenance membrane repair project general repairs exterior maint water remed exterior maint water remed general r & – exterior exterior cleaning – eyebrows exterior maint exterior maintenance building envelope maintenance r & exterior building envelope maintenance r & exterior building envelope maintenance r & exterior building envelope maintenance r & exterior building envelope maintenance r & exterior building envelope maintenance r & exterior building envelope maintenance r & exterior building envelope maintenance r & exterior building envelope maintenance r & exterior building envelope maintenance r & exterior building envelope maintenance r & exterior building envelope maintenance r & exterior
39,gutter cleaning & repair,gutter cleaning & repair gutter cleaning gutter repair & maintenance gutter repair maintenance gutters & eaves eavestroughs gutters eaves gutters eavestroughs gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment gutter repair gutter cleaning roof treatment
40,pressure washing / power washing,pressure washing power washing pressure washing power washing parkade power washing powerwashing exterior cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup pressure washing & window cleaning site cleanup
41,building manager / coordinator,building manager coordinator building supervisor site manager payroll & relief site manager payroll building manager wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor wages – manager wages – supervisor
42,caretaker / handyman ,caretaker handyman caretaker wages & benefits caretaker wages caretaker benefits caretaker/janitorial caretaker salaries caretaker salary health benefits wages caretakers benefits wcb payroll expense msp/health relief caretaker caretaker expenses wcb expense building r & m/maintain staff wages junior caretaker wages – benefits wages others ( overtime/holiday relief ) building r & staff maintainence staff maintain staff assistant caretaker payroll costs assistant caretaker payroll costs assistant caretaker payroll costs assistant caretaker payroll costs assistant caretaker payroll costs assistant caretaker payroll costs assistant caretaker payroll costs assistant caretaker payroll costs assistant caretaker payroll costs assistant caretaker payroll costs
43,doors & locks,doors & locks doors & keys doors & fobs entry fobs fobs & keys keys & fobs keys fobs remotes security locks security & locks keys locks keys & locks locks keys fobs & remotes-apt locks keys fobs & remotes – apt locks keys fobs remotes-apt locks keys fobs & remotes–apt lockskeysfobs & remotesapt security/locks/keys etc doors security/locks/keys etc doors security/locks/keys etc doors security/locks/keys etc doors security/locks/keys etc doors security/locks/keys etc doors security/locks/keys etc doors security/locks/keys etc doors security/locks/keys etc doors security/locks/keys etc doors security/locks/keys etc doors security/locks/keys etc doors security/locks/keys etc
44,lighting,lighting lighting supplies/repair & maintenance lighting supplies lighting replacement lighting upgrades led commercial led luminex led lights ballasts lights & ballasts led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing path lighting led lighting leasing
