,Line item,stop_removed_keyword
45,supplies / other r&m,supplies r & equipment/supplies janitorial supplies supplies supplies/repair & maintenance supplies/repair maintenance cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies maintenance supplies cleaning supplies
46,elevator ,elevator elevator maintenance elevator services elevator repair & maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing elevator repair maintenance elevator maintenance/licensing
47,special projects,special projects flood protection building improvements improvements sp painting cosmetic upgrades – apt major repairs & upgrades cosmetic upgrades concrete perimeter fencing ( capital ) concrete perimeter fencing improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad improvement projects & upgrades improvement projects & upgrad
48,fire prevention / safety systems,fire prevention safety systems fire alarm fire prevention fire system fire protection/alarm monitoring fire & equipment fire monitoring & protection fire protection repair & maintenance fire & safety equiment r & fire alarm monitoring yearly fire inspections monthly fire inspections fire hydrant inspections fire equipment maintenance monitoring fire protection fire life safety fire safety fire service- rm fire equipment fire alarm systems fire equipment maintenance monitoring fire & alarm maintenance fire safety systems fire inspection fire safety systems fire inspection fire safety systems fire inspection fire safety systems fire inspection fire safety systems fire inspection fire safety systems fire inspection fire safety systems fire inspection fire safety systems fire inspection fire safety systems fire inspection fire safety systems
49,foyer / lobby / hallway maintenance,foyer lobby hallway maintenance hallway painting floor r & lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace lobby floor fireplace
50,general repair & maintenance - interior,general repair & maintenance interior general repairs & maintenance r & general repair & maintenance general building r & maintenance & repair building improvements/misc interior painting painting maintenance contracts maintenance services remainder expenses commercial shared costs remainder shared costs shared area budget common area & facilities costs repair maintenance maintenance repair painting services & supplies painting services supplies general repairs & maintenance apt amacon shared use general r & – interior painting paint touch r & – others common area – rm maintenance repairs common area repairs common area repairs & maintenance repairs cost sharing remainder repairs interior repairs & maintenance painting maintenance repairs & maintenance painting maintenance repairs & maintenance painting maintenance repairs & maintenance painting maintenance
51,arborist,arborist tree pruning/removal/arborist pruning tree pruning tree removal hedge trimming hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal hedge trees maintenance hedge removal
52,grounds improvement / planting,grounds improvement planting grounds improvement planting landscape improvement landscape improvements irrigation bark mulch/garden soil fencing landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies landscaping improvement & upgrades compost fertilizer supplies
53,irrigation system,irrigation system irrigation irrigation repair & maintenance sprinkler system maintenance irrigation – apt irrigation system maint sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system sprinkler system maintenance sprinkler system
54,landscape contract / maintenance,landscape contract maintenance landscaping services landscaping landscape maintenance grounds & landscaping ground mtc/landscaping landscaping contract non-schd landscaping work landscaping – apt landscaping exterior landscaping internal landscape contract grounds maintenance/landscape gardening lawn care groundskeeper gardening lawn care groundskeeper gardening lawn care groundskeeper gardening lawn care groundskeeper gardening lawn care groundskeeper gardening lawn care groundskeeper gardening lawn care groundskeeper gardening lawn care groundskeeper gardening lawn care groundskeeper gardening lawn care groundskeeper gardening lawn care groundskeeper gardening lawn care groundskeeper gardening lawn care groundskeeper gardening lawn care groundskeeper
55,other landscaping,landscaping optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services optional services
56,pest control,pest control extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator extermination exterminator
57,snow removal,snow removal snow removal services snow removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal snow ice removal
58,clubhouse / amenity room,clubhouse amenity room contributions shared facilities clubhouse clubhouse maintenance amenity room clubhouse repair & maintenance clubhouse expenses painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance painting ( interior clubhouse ) clubhouse repair maintenance
59,pool / sauna,pool sauna pool spa spa chemicals pool chemicals pool maintenance pool contract chemicals & supplies pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance pool/spa services pool & spa supplies/repair & maintenance
60,recreation facilities / gym,recreation facilities gym recreation equipment recreational lease recreation facilities gym gym facilities recreational/pro facility rec centre r & fitness center fitness recreation facilities recreation facilities amenity fitness equipment repair & maintenance fitness equipment repair maintenance recreation facilities amenity repairs mainte recreation facilities amenity repairs maintenance club ozone contribution recreation centre split recreation centre recreation centre ( 47/53 split ) recreation centre maint apt fitness equipment rec centre utilities rec center cleaning rec centre gas/hydro cost sharing hotel rec centre janitorial recreation center contribution rec centre janitorial recreation center contribution rec centre janitorial recreation center contribution rec centre janitorial recreation center contribution rec centre janitorial recreation center contribution rec centre janitorial recreation center contribution rec centre janitorial recreation center contribution rec centre janitorial recreation center contribution
61,garbage,garbage garbage removal waste removal garbage collection garbage recycling service trash collection garbage collection/recycling scavenging trash removal garbage disposal disposal refuse removal garbage removal residential compactor lease garbage lease garbage disposal & recycling garbage & recycling garbage disposal & recycling garbage & recycling garbage disposal & recycling garbage & recycling garbage disposal & recycling garbage & recycling garbage disposal & recycling garbage & recycling garbage disposal & recycling garbage & recycling garbage disposal & recycling garbage & recycling garbage disposal & recycling garbage & recycling garbage disposal & recycling garbage & recycling garbage disposal & recycling garbage & recycling garbage disposal & recycling garbage & recycling garbage disposal & recycling garbage & recycling garbage disposal & recycling garbage & recycling
62,recycling,recycling utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses utility expenses
63,garage door,garage door garage security door garage door contract garage door services garage gate maintenance gates contract & repairs entrance gates remote control garage gate parkade gate parkade gate split parkade gate parkade gate ( 47/53 split ) parking gates overhead gates garage door – apt overhead gates rm overhead gate garage door repairs/mtnce garage ( overhead ) garage door repairs/mtnce garage ( overhead ) garage door repairs/mtnce garage ( overhead ) garage door repairs/mtnce garage ( overhead ) garage door repairs/mtnce garage ( overhead ) garage door repairs/mtnce garage ( overhead ) garage door repairs/mtnce garage ( overhead ) garage door repairs/mtnce garage ( overhead ) garage door repairs/mtnce garage ( overhead ) garage door repairs/mtnce garage ( overhead ) garage door repairs/mtnce garage ( overhead ) garage door repairs/mtnce
64,parking & garage maintenance,parking & garage maintenance parkade lighting upgrade parking repair & maintenance parking repairs parking maintenance driveway/parking repair & maintenance driveway/parking repair maintenance parking lot cleaning split parking lot cleaning parking lot cleaning ( 47/53 split ) floor parkade r & parkade cleaning parkade r & parkade repairs parkade r & parkade repairs parkade r & parkade repairs parkade r & parkade repairs parkade r & parkade repairs parkade r & parkade repairs parkade r & parkade repairs parkade r & parkade repairs parkade r & parkade repairs parkade r & parkade repairs parkade r & parkade repairs parkade r & parkade repairs parkade r & parkade repairs parkade r & parkade repairs parkade r &
65,road repairs,road repairs driveway/parking repair & maintenance driveway repair & maintenance driveway repairs driveway maintenance sp roadways city street cleaning roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance roadways road & sewer maintenance
66,security installation,security installation security upgrades maintenance security upgrades security cameras security equipment cctv door entry system security access system monitor security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems security system lease security systems
67,duct / dryer vent cleaning,duct dryer vent cleaning duct cleaning dryer vent cleaning duct vent cleaning dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r & dryer vent r &
68,laundry,laundry laundry equipment laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing laundry lease laundry servicing
69,electrical maintenance,electrical maintenance r & electrical ev cars ev charging station ev installation electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs electrical r & electrical repairs
70,emergency generator,emergency generator mechanical & generator generator maintenance generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract generator generator – contract
71,mechanical & hvac,mechanical & hvac mechanical maintenance boiler & mechanical mechanical systems services & supplies hvac r & r & major mechanical hvac maintenance boiler maintenance boiler repair & maintenance gas sensor mechanical plumbing gas detection sensor testing hvac servicing mechanical mechanical apt plumbing hvac r & hvac mechanical service contract air handling systems boilers/heaters boiler maintenance hvac contract boiler maintenance hvac contract boiler maintenance hvac contract boiler maintenance hvac contract boiler maintenance hvac contract boiler maintenance hvac contract boiler maintenance hvac contract boiler maintenance hvac contract boiler maintenance hvac contract boiler maintenance hvac contract boiler maintenance
72,plumbing maintenance,plumbing maintenance hydro jetting water system maintenance sanitary line cleaning plumbing supplies/repair & maintenance plumbing supplies/repair maintenance drainage plumbing plumbing – apt plumbing bathtub drainage repair sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing perimeter drain cleaning sewage line hydroflushing
73,contingency reserve transfer / crf,contingency reserve transfer crf transfer contingency fund transfer crf special project fund contingency reserve fund contingency reserve reserve contingency fund contingency fund transfer contingency reserve contribution crf transfer transfer crf contingency fund contribution contingency fund contribution boiler reserve contingency reserve ( 10 % ) contingency reserve transfers rec centre crf contingency fund allocation contingency allowance contingency provision transfers contingency reserve fund contingency res.-present year transfer capital fund contingency expense contingency towards reserve contingency towards reserve contingency towards reserve contingency towards reserve contingency towards reserve contingency towards reserve contingency towards reserve contingency towards reserve contingency towards reserve
74,electricity,electricity hydro electric bc hydro bc hydro electricity electric service hydro expense utilities – electrical electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt hydro electricity – apt electricity hydro – apt
75,energy utility / neighborhood energy utility,energy utility neighborhood energy utility geothermal common area geothermal energy geothermal owner suites steam heat utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities utilities neighbourhood energy utilities
76,gas,gas natural gas fortis gas fortis natural gas gas service gas expense gas fortis gas ranges utilities – gas gas – apt res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas res gas utilities natural gas
77,water & sewer,water & sewer sewer & water charges sewer & water sewer water/sewer water sewer water & sewer service clearbrook waterworks water sewage water sewage water sewage water sewage water sewage water sewage water sewage water sewage water sewage water sewage water sewage water sewage water sewage water sewage water sewage water sewage water
78,water treatment,water treatment water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system water filtration maintenance water filtration system
79,reserve contribution,reserve contribution reserve contribution crf contribution contingency fund contribution contingency reserve income transfer contingency fund contingency reserve portion crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation crf allocation contingency reserve allocation
80,strata / maintenance fees,strata maintenance fees strata maintenance fees strata fees maintenance fees operating fees contribution operating fund contribution strata fees apartments owners contributions operating income ( strata ) gas assessment operating revenue maintenance fee revenue maintenance fee revenue joint maintenance fee revenue apartments maintenance fee revenue residential maintenance fee revenue townhouses condominium contribution strata fees income current operating portion operating portion strata fee potential revenue assessment fee strata fee potential revenue assessment fee strata fee potential revenue assessment fee strata fee potential revenue assessment fee strata fee potential revenue assessment fee strata fee potential revenue assessment fee strata fee potential revenue assessment fee strata fee potential revenue assessment fee strata fee potential revenue assessment fee strata fee potential revenue assessment fee strata fee potential
81,special assessments,special assessments special assessments special levy special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment special levies special assessment
82,amenities income,amenities income amenities income amenity room rent amenity rental amenity rent common room rental room rental fees amenity room income social/recreation/activityfees social/recreation/activity fees rental income amenity room rooftop income amenity room rent clubhouse rental income lounge rental amenity contribution lounge rental amenity contribution lounge rental amenity contribution lounge rental amenity contribution lounge rental amenity contribution lounge rental amenity contribution lounge rental amenity contribution lounge rental amenity contribution lounge rental amenity contribution lounge rental amenity contribution lounge rental amenity contribution lounge rental amenity contribution lounge rental amenity contribution lounge rental
83,bylaw fines,bylaw fines bylaw fines bylaw late payment fine by-law fines/late fees by-law fines late fees collection processing fees nsf service fees late fees & interest lien fees bylaws fines late fines bylaw fines late payment/bylaws fines late charges fines bylaw fine income fines income bylaw fine income fines income bylaw fine income fines income bylaw fine income fines income bylaw fine income fines income bylaw fine income fines income bylaw fine income fines income bylaw fine income fines income bylaw fine income fines income bylaw fine income fines income bylaw fine income fines income bylaw fine income fines income bylaw fine income
84,keys/fobs,keys/fobs keys/fobs key revenue fobs/keys/remote fees door openers transmitters fobs/keys/remotes fess fob income fobs/keys/remotes fees access cards transmitters access cards/transmitters security card key income keys/remotes income keys remotes income keys & remotes income key revenue key access fobs key access fobs key access fobs key access fobs key access fobs key access fobs key access fobs key access fobs key access fobs key access fobs key access fobs key access fobs key
85,move in/out ,move in/out move in/out move move fee move-in/move-out charges change occupancy fee move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees move in/out fees move-in & fees
86,other income (locker/storage/office/tax/chargeback/etc),income ( locker/storage/office/tax/chargeback/etc ) income ( locker/storage/office/tax/chargeback/etc ) locker income miscellaneous income miscellaneous revenue miscellaneous recovery chargebacks user income locker owner chargeback laundry income sundry income user income miscellaneous income garbage surcharges cell tower income recovery recovery hydro elevator advertising income advertising income cablevision recoveries internet recoveries cost share commercial recovery gas res recovery hva bike room income misc/fines/fobs storage telecom revenue utility fees telecom ncs agreement fees roof lease income rogers electrical recovery roof lease income rogers electrical recovery roof lease income rogers electrical recovery roof lease income rogers electrical recovery roof lease income
87,parking,parking parking parking visitors parking assessments parking income parking revenues parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue parking fees parking revenue
88,interest income ,interest income interest income interest income operating interest overdue accounts bank interest interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned interests earned interest earned
89,guest suite rental,guest suite rental guest suite rental suite rental guest suite income rental-strata suite guest suite rental strata unit rental room rental income caretaker 's suite rental-strata suite rent income guest suite cleaning guest suite rental net guest suite rent caretaker suite rental guest suite rent caretaker suite rental guest suite rent caretaker suite rental guest suite rent caretaker suite rental guest suite rent caretaker suite rental guest suite rent caretaker suite rental guest suite rent caretaker suite rental guest suite rent caretaker suite rental guest suite rent caretaker suite rental guest suite rent caretaker suite rental guest suite rent caretaker suite rental guest suite rent caretaker suite rental guest suite rent caretaker suite rental guest suite rent caretaker suite rental
90,prior year surplus (deficit),prior year surplus ( deficit ) prior year surplus ( deficit ) prior year allocation surplus previous year surplus prior year deficit previous year deficit prior year prior year deficit prior year surplus carries fwd op surplus transfer retained surplus prior year brought forward prior year surplus ( deficit ) prior year allocation surplus ( deficit ) prior years surplus deficit prior years prior year operating surplus surplus ( deficit ) prior year carry fwd surplus prev year surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward surplus carry forward
91,from reserve fund/crf,reserve fund/crf reserve fund/crf crf roof repair crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income crf insurance contingency reserve income
